Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM	UID	GID	EUID	EGID	CREATION TIME	File output
0x9d90304c8000	191	191	2	kworker/3:2	0	0	0	0	2026-02-18 02:34:07.928345 UTC	Disabled
0x9d90304ce000	192	192	2	cryptd	0	0	0	0	2026-02-18 02:34:07.953342 UTC	Disabled
0x9d90304c2000	193	193	2	scsi_eh_0	0	0	0	0	2026-02-18 02:34:07.957202 UTC	Disabled
0x9d90304c6000	195	195	2	scsi_tmf_0	0	0	0	0	2026-02-18 02:34:07.957810 UTC	Disabled
0x9d902fea2000	208	208	2	scsi_eh_1	0	0	0	0	2026-02-18 02:34:07.968130 UTC	Disabled
0x9d902f092000	213	213	2	scsi_tmf_1	0	0	0	0	2026-02-18 02:34:07.969753 UTC	Disabled
0x9d902f0b4000	225	225	2	scsi_eh_2	0	0	0	0	2026-02-18 02:34:07.972281 UTC	Disabled
0x9d902f0ca000	228	228	2	scsi_tmf_2	0	0	0	0	2026-02-18 02:34:07.974706 UTC	Disabled
0x9d902f0cc000	229	229	2	scsi_eh_3	0	0	0	0	2026-02-18 02:34:07.975937 UTC	Disabled
0x9d902f0ce000	230	230	2	scsi_tmf_3	0	0	0	0	2026-02-18 02:34:07.975970 UTC	Disabled
0x9d902f0ee000	236	236	2	scsi_eh_4	0	0	0	0	2026-02-18 02:34:07.985551 UTC	Disabled
0x9d902f0f8000	237	237	2	scsi_tmf_4	0	0	0	0	2026-02-18 02:34:07.985600 UTC	Disabled
0x9d902f0fa000	238	238	2	scsi_eh_5	0	0	0	0	2026-02-18 02:34:07.988960 UTC	Disabled
0x9d902f0fc000	239	239	2	scsi_tmf_5	0	0	0	0	2026-02-18 02:34:07.989021 UTC	Disabled
0x9d902f09c000	244	244	2	kworker/u8:4	0	0	0	0	2026-02-18 02:34:07.991932 UTC	Disabled
0x9d902f09e000	289	289	2	raid5wq	0	0	0	0	2026-02-18 02:34:09.844379 UTC	Disabled
0x9d902f0ea000	337	337	2	jbd2/vda2-8	0	0	0	0	2026-02-18 02:34:09.977855 UTC	Disabled
0x9d902f0ec000	338	338	2	ext4-rsv-conver	0	0	0	0	2026-02-18 02:34:09.977901 UTC	Disabled
0x9d900121c000	408	408	1	systemd-journal	0	0	0	0	2026-02-18 02:34:10.343488 UTC	Disabled
0x9d90304b6000	438	438	2	kaluad	0	0	0	0	2026-02-18 02:34:10.418224 UTC	Disabled
0x9d90304b0000	442	442	2	kmpath_rdacd	0	0	0	0	2026-02-18 02:34:10.423448 UTC	Disabled
0x9d900360a000	444	444	2	kmpathd	0	0	0	0	2026-02-18 02:34:10.429744 UTC	Disabled
0x9d900360e000	445	445	2	kmpath_handlerd	0	0	0	0	2026-02-18 02:34:10.429851 UTC	Disabled
0x9d902f152000	446	446	1	multipathd	0	0	0	0	2026-02-18 02:34:10.430394 UTC	Disabled
0x9d903063c000	450	450	1	systemd-udevd	0	0	0	0	2026-02-18 02:34:10.460969 UTC	Disabled
0x9d9030638000	510	510	1	systemd-timesyn	104	105	104	105	2026-02-18 02:34:10.604570 UTC	Disabled
0x9d900de12000	616	616	1	systemd-network	101	102	101	102	2026-02-18 02:34:11.050043 UTC	Disabled
0x9d900de16000	618	618	1	systemd-resolve	102	103	102	103	2026-02-18 02:34:11.078057 UTC	Disabled
0x9d900a5f2000	629	629	1	cron	0	0	0	0	2026-02-18 02:34:12.455272 UTC	Disabled
0x9d900a5f6000	631	631	1	dbus-daemon	103	104	103	104	2026-02-18 02:34:12.456816 UTC	Disabled
0x9d902f16a000	637	637	1	irqbalance	0	0	0	0	2026-02-18 02:34:12.465212 UTC	Disabled
0x9d902f168000	638	638	1	networkd-dispat	0	0	0	0	2026-02-18 02:34:12.467375 UTC	Disabled
0x9d900de14000	639	639	1	polkitd	0	0	0	0	2026-02-18 02:34:12.472153 UTC	Disabled
0x9d900ac4a000	646	646	1	snapd	0	0	0	0	2026-02-18 02:34:12.482619 UTC	Disabled
0x9d900ac40000	649	649	1	systemd-logind	0	0	0	0	2026-02-18 02:34:12.488328 UTC	Disabled
0x9d900ac44000	657	657	1	udisksd	0	0	0	0	2026-02-18 02:34:12.491415 UTC	Disabled
0x9d900b7f4000	670	670	1	ModemManager	0	0	0	0	2026-02-18 02:34:12.516833 UTC	Disabled
0x9d9006a8e000	680	680	1	agetty	0	0	0	0	2026-02-18 02:34:12.527072 UTC	Disabled
0x9d900b7f0000	693	693	1	unattended-upgr	0	0	0	0	2026-02-18 02:34:12.565367 UTC	Disabled
0x9d900a588000	701	701	2	kworker/1:3	0	0	0	0	2026-02-18 02:34:12.584234 UTC	Disabled
0x9d902fea0000	815	815	2	kworker/2:3	0	0	0	0	2026-02-18 02:34:13.084350 UTC	Disabled
0x9d90163b6000	1076	1076	1	rsyslogd	107	113	107	113	2026-02-18 02:35:45.343041 UTC	Disabled
0x9d900ac20000	1080	1080	1	sshd	0	0	0	0	2026-02-18 02:35:45.349392 UTC	Disabled
0x9d9001b58000	1087	1087	1080	sh	0	1337	0	1337	2026-02-18 02:37:17.687980 UTC	Disabled
0x9d900ac24000	1092	1092	1	___cryptominer.	0	1337	0	1337	2026-02-18 02:38:01.222094 UTC	Disabled
0x9d900121a000	428481	428481	2	kworker/1:0	0	0	0	0	2026-02-18 02:40:15.600173 UTC	Disabled
0x9d900b3e4000	428512	428512	2	kworker/2:0	0	0	0	0	2026-02-18 02:40:15.612824 UTC	Disabled
0x9d900a58e000	634649	634649	1080	sshd	0	0	0	0	2026-02-18 02:41:34.581558 UTC	Disabled
0x9d900a632000	635048	635048	1	systemd	1000	1000	1000	1000	2026-02-18 02:41:34.796359 UTC	Disabled
0x9d900b3e0000	635061	635061	635048	(sd-pam)	1000	1000	1000	1000	2026-02-18 02:41:34.804196 UTC	Disabled
0x9d900a5f0000	635081	635081	2	kworker/u8:0	0	0	0	0	2026-02-18 02:41:34.812199 UTC	Disabled
0x9d9016796000	635977	635977	634649	sshd	1000	1000	1000	1000	2026-02-18 02:41:35.231614 UTC	Disabled
0x9d9016790000	636080	636080	635977	bash	1000	1000	1000	1000	2026-02-18 02:41:35.274444 UTC	Disabled
0x9d900a59a000	659726	659726	636080	bash	0	1337	0	1337	2026-02-18 02:41:45.067134 UTC	Disabled
0x9d900ac42000	833866	833866	1092	md5sum	0	1337	0	1337	2026-02-18 02:42:58.805008 UTC	Disabled
